	mean	Significance
ROUGE-W-STEM-STOP-F1	0.5194830695	0
ROUGE-W-STOP-F1	0.5131193591	0
ROUGE-W-STOP-P	0.5106877679	0
ROUGE-W-STEM-STOP-P	0.5097167768	0
ROUGE-W-STEM-F1	0.5096139966	0
ROUGE-W-F1	0.5062116122	0
ROUGE-L-STEM-STOP-F1	0.5010384906	0
ROUGE-W-STEM-P	0.499234729	0
ROUGE-W-P	0.4985480262	0
ROUGE-L-STOP-F1	0.4951555611	0
ROUGE-L-STOP-P	0.4949704759	0
ROUGE-L-STEM-STOP-P	0.49225446	0
ROUGE-L-STEM-F1	0.4875197789	0
ROUGE-L-F1	0.4850469891	0
ROUGE-L-P	0.474326003	0
ROUGE-L-STEM-P	0.473715873	0
mean-rouge	0.4717456182	1
RWMD-RIGHT-COS	0.4239484505	0
ROUGE1-STEM-STOP-P	0.4199208137	0
BLEU	0.4177119406	0
ROUGE-SU4-STEM-STOP-P	0.4127964174	0
ROUGE-SU4-STOP-P	0.4083688176	0
RWMD-MAX-COS	0.4042568889	0
RWMD-RIGHT-EUCL	0.3972230979	0
ROUGE-S4-STEM-STOP-P	0.3918715587	0
ROUGE-S4-STOP-P	0.3904354262	1
ROUGE-SU4-STEM-STOP-F1	0.3786422987	0
ROUGE1-STOP-P	0.3777359933	0
ROUGE-SU4-STOP-F1	0.3744929004	0
ROUGE2-STEM-P	0.3698408077	0
ROUGE2-STEM-STOP-P	0.3691220209	0
ROUGE-SU4-STEM-P	0.3691097184	0
ROUGE1-STEM-P	0.3683858249	0
ROUGE-SU4-P	0.3668353277	0
RWMD-MAX-EUCL	0.366702904	0
ROUGE1-STEM-STOP-F1	0.3662269906	0
ROUGE-S4-STEM-STOP-F1	0.3590066056	0
ROUGE-S4-STEM-P	0.3577754398	0
ROUGE-S4-P	0.3567480341	0
ROUGE-S4-STOP-F1	0.3562365287	0
ROUGE2-STEM-F1	0.3423493985	0
ROUGE2-STEM-STOP-F1	0.3400692618	0
ROUGE-SU4-STEM-F1	0.3379465563	0
CENT-COS	0.3361339281	0
ROUGE-SU4-F1	0.335075873	0
ROUGE1-P	0.3303654407	0
ROUGE-S4-STEM-F1	0.3280003276	0
ROUGE-S4-F1	0.3267837994	0
ROUGE1-STEM-F1	0.3243743539	0
ROUGE2-P	0.3243371866	0
ROUGE1-STOP-F1	0.3229577483	0
ROUGE3-STEM-P	0.3147657811	0
ROUGE2-STOP-P	0.3038867111	0
ROUGE3-STEM-STOP-P	0.3021065405	0
ROUGE2-F1	0.3014932122	0
ROUGE3-STEM-F1	0.2930967983	0
ROUGE3-STEM-STOP-F1	0.2851064935	0
ROUGE2-STOP-F1	0.284026582	0
ROUGE1-F1	0.2824197628	0
ROUGE4-STEM-P	0.2756849862	0
ROUGE4-STEM-STOP-P	0.2669653481	0
ROUGE4-STEM-F1	0.2604155244	0
ROUGE4-STEM-STOP-F1	0.2571516947	0
ROUGE3-P	0.2569106041	0
CENT-EUCL	0.2474855285	0
ROUGE4-P	0.2429232329	0
ROUGE3-F1	0.2392203566	0
ROUGE4-STOP-P	0.2363312229	0
ROUGE-SU4-STOP-R	0.2326632293	0
ROUGE4-F1	0.2307677483	0
ROUGE4-STOP-F1	0.229646575	0
ROUGE-SU4-STEM-STOP-R	0.2256912644	0
ROUGE3-STOP-P	0.2189610512	0
ROUGE4-STEM-STOP-R	0.2122187782	0
ROUGE2-STEM-STOP-R	0.2117338405	0
ROUGE-S4-STOP-R	0.2105852942	0
ROUGE3-STOP-F1	0.209771383	0
ROUGE3-STEM-R	0.2064769827	0
ROUGE2-STEM-R	0.2064474797	0
ROUGE3-STEM-STOP-R	0.204907342	0
ROUGE-W-STOP-R	0.202806194	0
ROUGE-S4-STEM-STOP-R	0.2024692338	0
ROUGE4-STEM-R	0.2018955311	0
ROUGE4-STOP-R	0.1993791809	0
ROUGE-W-STEM-STOP-R	0.194923992	0
ROUGE-SU4-R	0.1928880883	0
ROUGE-W-R	0.1900220761	0
ROUGE-SU4-STEM-R	0.1879138095	0
ROUGE-S4-R	0.1859831971	0
ROUGE4-R	0.1846533476	0
ROUGE2-R	0.1845371586	0
ROUGE-W-STEM-R	0.1845295287	0
RWMD-LEFT-EUCL	0.1841893987	0
ROUGE2-STOP-R	0.1837841544	0
ROUGE-S4-STEM-R	0.1797101408	0
RWMD-LEFT-COS	0.1770814635	0
mean-centroids	0.1735611643	0
ROUGE3-R	0.1729223582	0
ROUGE-L-STOP-R	0.1702537428	0
ROUGE-L-STEM-STOP-R	0.1586590474	0
ROUGE3-STOP-R	0.1557394775	0
ROUGE-L-R	0.1461481093	0
ROUGE1-STEM-STOP-R	0.1457747821	0
ROUGE-L-STEM-R	0.1379195507	0
ROUGE1-STOP-R	0.1254077432	0
ROUGE1-STEM-R	0.1213963793	1
ROUGE1-R	0.0999054301	0
