	precision	Significance
singletask-rouge	0.4634157022	1
ROUGE-W-STEM-STOP-P	0.425273286	0
ROUGE-W-STOP-P	0.4228327137	0
ROUGE-W-STEM-P	0.4188989421	1
ROUGE-W-P	0.4141817932	0
ROUGE-L-STEM-STOP-P	0.4117715313	0
ROUGE-L-STOP-P	0.4113727564	0
ROUGE-L-STEM-P	0.401565638	0
ROUGE-W-STEM-STOP-F1	0.4009136416	0
ROUGE-L-P	0.3984433045	0
RWMD-RIGHT-COS	0.3970986694	0
ROUGE-W-STEM-F1	0.3948086688	0
ROUGE-W-STOP-F1	0.3943552063	0
ROUGE-W-F1	0.3885828101	0
ROUGE-L-STEM-STOP-F1	0.3840103911	0
ROUGE-L-STOP-F1	0.3793610182	0
ROUGE-L-STEM-F1	0.3774208791	0
ROUGE-L-F1	0.3726799708	0
ROUGE1-STEM-STOP-P	0.3657948091	0
RWMD-RIGHT-EUCL	0.3578310811	0
RWMD-MAX-COS	0.3515475307	0
ROUGE-SU4-STEM-STOP-P	0.3396946206	1
ROUGE-SU4-STOP-P	0.3321266299	0
ROUGE1-STEM-P	0.3240506999	0
BLEU	0.3186293183	0
ROUGE-S4-STEM-STOP-P	0.3178653681	0
ROUGE-S4-STOP-P	0.3158804897	0
ROUGE1-STOP-P	0.3085259606	0
ROUGE2-STEM-STOP-P	0.3069606362	0
ROUGE2-STEM-P	0.3064807159	0
RWMD-MAX-EUCL	0.3050749562	0
ROUGE-SU4-STEM-P	0.3019581747	0
ROUGE-SU4-STEM-STOP-F1	0.2970557675	0
ROUGE-SU4-P	0.2956678325	0
CENT-COS	0.2908023536	0
ROUGE1-STEM-STOP-F1	0.2903341039	0
ROUGE-SU4-STOP-F1	0.2895658544	0
ROUGE-S4-STEM-P	0.2886895564	0
ROUGE-S4-P	0.2844887617	0
ROUGE-S4-STEM-STOP-F1	0.2766702995	0
ROUGE1-P	0.2742871057	0
ROUGE-S4-STOP-F1	0.2730072437	0
ROUGE2-STEM-STOP-F1	0.267672615	0
ROUGE2-STEM-F1	0.2648232555	0
ROUGE2-P	0.2591455227	0
ROUGE-SU4-STEM-F1	0.2572991975	0
ROUGE-SU4-F1	0.2526874813	0
ROUGE1-STEM-F1	0.2523887545	0
multitask-rouge	0.2482146168	0
ROUGE-S4-STEM-F1	0.2458424239	0
ROUGE3-STEM-P	0.2447418669	0
ROUGE-S4-F1	0.2434806335	0
ROUGE1-STOP-F1	0.2428312908	0
ROUGE2-STOP-P	0.2390024163	0
ROUGE3-STEM-STOP-P	0.2300954667	0
singletask-centroids	0.2268943633	0
ROUGE2-F1	0.2254204978	0
ROUGE3-STEM-F1	0.2193688567	0
ROUGE2-STOP-F1	0.2157381794	0
ROUGE4-STEM-P	0.2142806386	0
ROUGE3-STEM-STOP-F1	0.2140035579	0
CENT-EUCL	0.2101369097	0
ROUGE1-F1	0.2081772028	0
ROUGE4-STEM-STOP-P	0.2030748965	0
ROUGE3-P	0.2023692108	0
ROUGE4-P	0.2006627933	0
ROUGE4-STEM-F1	0.19955114	0
ROUGE4-STEM-STOP-F1	0.1939816253	0
ROUGE4-F1	0.1893449981	0
ROUGE3-F1	0.1829648756	0
ROUGE4-STOP-P	0.18011997	0
ROUGE4-STOP-F1	0.1746486795	0
ROUGE3-STOP-P	0.172460959	0
ROUGE-SU4-STOP-R	0.1718796805	0
ROUGE-SU4-STEM-STOP-R	0.1670684438	0
ROUGE3-STOP-F1	0.1640064521	0
ROUGE2-STEM-STOP-R	0.1556902524	0
ROUGE-S4-STOP-R	0.1538210821	0
ROUGE4-STEM-STOP-R	0.1531334278	0
ROUGE4-STEM-R	0.1484804171	0
ROUGE2-STEM-R	0.1481263928	0
ROUGE3-STEM-STOP-R	0.1478461234	0
ROUGE4-R	0.147374338	0
ROUGE3-STEM-R	0.1467232291	0
ROUGE-S4-STEM-STOP-R	0.1458735808	0
ROUGE4-STOP-R	0.1453108676	0
multitask-centroids	0.1437701652	0
ROUGE-W-STOP-R	0.1390393027	0
RWMD-LEFT-EUCL	0.1379706439	0
RWMD-LEFT-COS	0.1375721971	0
ROUGE-SU4-R	0.1370335956	0
ROUGE2-STOP-R	0.1358058597	0
ROUGE-W-STEM-STOP-R	0.1339019582	0
ROUGE-SU4-STEM-R	0.133557598	0
ROUGE-S4-R	0.1312325995	0
ROUGE2-R	0.1311565394	0
ROUGE-W-R	0.1304228293	0
ROUGE-W-STEM-R	0.1292912071	0
ROUGE3-R	0.1278303486	0
ROUGE-S4-STEM-R	0.1256615455	0
ROUGE3-STOP-R	0.1204583144	0
ROUGE-L-STOP-R	0.1085058777	0
ROUGE1-STEM-STOP-R	0.102050096	0
ROUGE-L-STEM-STOP-R	0.1003039424	1
ROUGE-L-R	0.0916330457	0
ROUGE-L-STEM-R	0.0871885713	0
ROUGE1-STEM-R	0.0829538498	0
ROUGE1-STOP-R	0.0821293452	1
ROUGE1-R	0.0631714703	0
